127.0.0.1 - - [03/May/2022:09:49:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/May/2022:09:49:21 +0900] "GET /Webjdbc/Main.jsp HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [03/May/2022:09:49:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/May/2022:09:49:31 +0900] "GET /Webjdbc/prologin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:49:31 +0900] "GET /Webjdbc/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:49:31 +0900] "GET /Webjdbc/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:49:31 +0900] "GET /Webjdbc/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:49:31 +0900] "GET /Webjdbc/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:49:31 +0900] "GET /Webjdbc/js/linksys.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:49:31 +0900] "GET /Webjdbc/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:49:31 +0900] "GET /Webjdbc/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:49:31 +0900] "GET /Webjdbc/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:49:31 +0900] "GET /Webjdbc/images/mlogo_6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:49:31 +0900] "GET /Webjdbc/images/mlogo_7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:49:31 +0900] "GET /Webjdbc/images/b_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:49:31 +0900] "GET /Webjdbc/images/mlogo_05.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:49:31 +0900] "GET /Webjdbc/images/mlogo_01.png HTTP/1.1" 304 -
